Logging to spot_bullet/logs/
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.85e+03 |
|    ep_rew_mean     | 75.7     |
| time/              |          |
|    fps             | 191      |
|    iterations      | 1        |
|    time_elapsed    | 10       |
|    total_timesteps | 403456   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.85e+03     |
|    ep_rew_mean          | 83.5         |
| time/                   |              |
|    fps                  | 156          |
|    iterations           | 2            |
|    time_elapsed         | 26           |
|    total_timesteps      | 405504       |
| train/                  |              |
|    approx_kl            | 0.0015779537 |
|    clip_fraction        | 0.000879     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.01        |
|    explained_variance   | 0.662        |
|    learning_rate        | 0.0003       |
|    loss                 | 37.4         |
|    n_updates            | 1970         |
|    policy_gradient_loss | -0.00118     |
|    value_loss           | 163          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.86e+03     |
|    ep_rew_mean          | 85           |
| time/                   |              |
|    fps                  | 147          |
|    iterations           | 3            |
|    time_elapsed         | 41           |
|    total_timesteps      | 407552       |
| train/                  |              |
|    approx_kl            | 0.0005949737 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.686       |
|    explained_variance   | 0.759        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.46         |
|    n_updates            | 1980         |
|    policy_gradient_loss | -0.000147    |
|    value_loss           | 90.1         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.83e+03    |
|    ep_rew_mean          | 77.6        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 4           |
|    time_elapsed         | 56          |
|    total_timesteps      | 409600      |
| train/                  |             |
|    approx_kl            | 0.003343517 |
|    clip_fraction        | 0.0199      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.444      |
|    explained_variance   | 0.943       |
|    learning_rate        | 0.0003      |
|    loss                 | 6.1         |
|    n_updates            | 1990        |
|    policy_gradient_loss | -0.00161    |
|    value_loss           | 15.3        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.82e+03     |
|    ep_rew_mean          | 85.5         |
| time/                   |              |
|    fps                  | 141          |
